Designator,LibRef,Quantity,Comment,LCSC Part Number,LCSC Part,Manufacturer Part Number,Supplier Part Number,Suplier part number,Supplier,Manufacturer

"C1, C3","CAP_100nF","2","100nF","","","CC0603KRX7R9BB104","C14663","","LCSC","YAGEO"
"C2","CAP_4.7uF","1","CAP_4.7uF","","","1206B475K250NT","C132148","","LCSC","FH"
"C4, C5, C7, C8, C10, C11, C13, C14, C15","CAP_10uF","9","10uF","","","CGA5L1X7R1E106K160AC","C2168260","","LCSC","TDK"
"C6, C9, C12, C19, C20, C21, C22, C23","CAP_22uF","8","22uF","","","CL21A226MAYNNNE","C602037","","LCSC","Samsung Electro-Mechanics"
"C16, C18, C27","CAP_0402_0.1UF","3","100nF, 50V","C307331","","CL05B104KB54PNC","C307331","","LCSC","Samsung Electro-Mechanics"
"C17, C26","CAP_0603_47nf","2","0.33uF","","","CL10B473KB8NNNC","C1622","","LCSC","Samsung Electro-Mechanics"
"C24","Cap_0603_30pf","1","Cap_0603_30pf","","","CC0603JRNPO9BN300","","C113797","LCSC","YAGEO"
"C25","CAP_470uF","1","470uF","","","35PX470MEFC10X12.5","C127917","","LCSC","Rubycon"
"D1","BZT52C12S","1","Zener Diode","","","","","","",""
"D2","SMCJ14A","1","Diode","","C5270642","","","","","YFW"
"D3","SMCJ13A","1","TVS-SMCJ13A","","","SMCJ13A","C43060567","","LCSC","RUILON"
"F1","0451020.MRL","1","Fast Blow","","","0451020.MRL","C178980","","LCSC","Littelfuse"
"J1, J2","XT60PW-M","2","XT60-M","","","XT60PW-M","C98732","","LCSC","Changzhou Amass Elec"
"J3","XT30PW-F","1","XT30-F","","","XT30U-F","C99102","","LCSC","Changzhou Amass Elec"
"J4","JST_GH_V6","1","JST_GH_V6","","","533980671","C277393","","LCSC","MOLEX"
"J5","CMP-2000-07076-2","1","SM02B-GHS-TB(LF)(SN)","","","","","","",""
"J6","MOTOR_PWR_UNIV","1","MOTOR_PWR_UNIV","","","","","","",""
"L1","IND_12.3_22uH","1","22uH","","","","","","",""
"L2","IND_5.6uH","1","IND_5.6uH","","","SMS1050-5R6MT","C5127460","","LCSC","LanTu Micro"
"Q1","AO4407A","1","P-MOS","","C16072","","","","",""
"R1","RES_0402_10K","1","10K","C144807","","AC0402FR-0710KL","C144807","","LCSC","Yageo"
"R4","RES_0603_3.9K","1","3.9k","","","0603WAF3901T5E","C23018","","LCSC","UNI-ROYAL"
"R5","RES_0201_30K","1","30k","","","RC0201FR-0730KL","C138153","","LCSC","YAGEO"
"R6, R8, R10","RSE_0603_100","3","100","","","","","","",""
"R7","RES_0603_300","1","300","","","","","","",""
"R9, R11","RES_0603_300","2","32.8","","","","","","",""
"R12","RES_0603_169K","1","RES 169kO ±0.1% 100mW 0603","","","RT0603BRB07169KL","C860143","","LCSC","Yageo Group"
"R13","RES_0603_36.1K","1","RES 36.1kO ±0.1% 100mW 0603","","","RT0603BRD0736K1L","C861351","","LCSC","YAGEO"
"R14","RES_0603_52.3K","1","RES 52.3kO ±1% 100mW 0603","","","AC0603FR-0752K3L","C227953","","LCSC","YAGEO"
"R16","RES_0603_100K","1","100K","","","","","","",""
"R18","RES_0402_49.9","1","RES 49.9O ±1% 62.5mW 0402","","","RC0402FR-0749R9L","C87044","","LCSC","Yageo Group"
"R19","RSE_0603_100","1","383kO","","","","","","",""
"R20","RES_0603_20K","1","RES 20kO ±1% 100mW 0603","","","RC0603FR-0720KL","C105575","","LCSC","YAGEO"
"U1","AOZ1282CI","1","AOZ1282CI","","","AOZ1282CI","C111916","","LCSC","AOS"
"U2, U3, U4","AMS1117-5.0","3","AMS1117-5.0","","","AMS1117-5.0","C880753","","LCSC","Slkor"
"U5","TPS56A37RPAR","1","TPS56A37RPAR","","","TPS56A37RPAR","","","LCSC","TI"
"U6","UA7810CKTTR","1","UA7810CKTTR","","","UA7810CKTTR","C131966","","LCSC","TI"
